street_name,price,area,air_conditioning,fridge,washing_machine,mezzanine,kitchen,wardrobe,bed,balcony,elevator,free_time,parking,district,month,latitude,longitude,dist_to_q1_km,district_median_price,is_hot_street,amenity_ratio
Phạm Hùng,2.8,30.0,0,0,0,0,1,0,0,0,0,0,0,Quận 8,11,10.7211158,106.6292079,9.777699913085529,3.8,0,0.09090909090909091
Nguyễn Lương Bằng,1.3,15.0,0,1,1,0,1,0,0,0,0,0,0,Quận 7,11,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.2727272727272727
Thành Thái,4.5,25.0,0,0,0,0,0,0,0,0,0,1,0,Quận 10,11,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.09090909090909091
Số 8,1.2,30.0,1,1,1,0,1,1,1,0,0,0,0,Thủ Đức,11,10.8510238,106.7548953,10.35199028747128,3.0,0,0.5454545454545454
Phạm Ngũ Lão,1.5,30.0,1,0,0,0,1,0,1,0,0,1,0,Quận 1,11,10.7753939,106.6996249,0.0,5.0,0,0.36363636363636365
Trần Văn Đang,3.5,15.0,1,0,0,0,0,0,0,0,0,1,0,Quận 3,11,10.7788914,106.6869967,1.4331987175457273,4.5,0,0.18181818181818182
Lê Văn Chí,4.5,30.0,1,1,1,0,0,0,0,0,0,0,0,Thủ Đức,11,10.8510238,106.7548953,10.35199028747128,3.0,1,0.2727272727272727
Số 2,4.5,27.0,1,0,0,0,0,0,0,0,0,0,0,Quận 8,11,10.7211158,106.6292079,9.777699913085529,3.8,0,0.09090909090909091
Hoàng Hoa Thám,3.5,25.0,1,0,0,1,1,0,0,0,1,0,0,Quận Tân Bình,11,10.8030931,106.6523519,6.012418782951292,4.0,0,0.36363636363636365
D2,1.5,20.0,1,1,1,0,1,1,1,0,0,1,0,Quận Bình Thạnh,11,10.812271,106.7040393,4.128798019662786,4.8,0,0.6363636363636364
Trần Kế Xương,5.2,42.0,0,0,1,0,0,0,0,0,0,0,0,Quận Phú Nhuận,11,10.8010601,106.6798946,3.5762603391364025,4.5,0,0.09090909090909091
Lê Văn Việt,3.0,22.0,1,0,1,0,1,0,0,0,0,1,0,Quận 9,11,10.8441928,106.7791529,11.574703424951835,3.3,0,0.36363636363636365
Trần Xuân Soạn,4.2,20.0,1,0,0,0,0,0,0,0,0,0,0,Quận 7,11,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.09090909090909091
Huỳnh Khương Ninh,3.5,20.0,1,0,0,0,1,1,0,1,0,1,0,Quận 1,11,10.7753939,106.6996249,0.0,5.0,0,0.45454545454545453
Quốc Lộ 13,2.5,25.0,0,0,0,0,0,0,0,0,0,1,0,Thủ Đức,11,10.8510238,106.7548953,10.35199028747128,3.0,0,0.09090909090909091
Toà Nhà Namn,5.2,35.0,0,0,0,0,0,0,0,0,1,1,0,Quận 7,11,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.18181818181818182
Huỳnh Văn Bánh,2.5,15.0,1,0,0,0,1,0,0,0,0,0,0,Quận Phú Nhuận,11,10.8010601,106.6798946,3.5762603391364025,4.5,0,0.18181818181818182
Huỳnh Khương An,1.4,30.0,1,0,1,0,1,0,1,0,1,0,0,Quận Gò Vấp,11,10.8352617,106.6740588,7.218946055948861,3.6,0,0.45454545454545453
Ký Con,3.5,15.0,1,1,1,0,0,0,1,0,0,0,0,Quận Phú Nhuận,11,10.8010601,106.6798946,3.5762603391364025,4.5,0,0.36363636363636365
Nguyễn Văn Đậu,3.2,20.0,0,0,0,0,1,0,0,1,0,0,0,Quận Bình Thạnh,11,10.812271,106.7040393,4.128798019662786,4.8,0,0.18181818181818182
Huỳnh Khương An,1.8,15.0,1,1,1,0,1,1,1,0,0,1,0,Quận Gò Vấp,11,10.8352617,106.6740588,7.218946055948861,3.6,0,0.6363636363636364
Trần Hưng Đạo,3.0,30.0,1,1,0,0,0,1,1,0,0,0,0,Quận 5,11,10.7558252,106.6683021,4.054910944499208,3.8,1,0.36363636363636365
Nguyễn Gia Trí,1.85,30.0,1,1,0,0,1,1,1,0,0,0,0,Quận Bình Thạnh,11,10.812271,106.7040393,4.128798019662786,4.8,0,0.45454545454545453
Nguyễn Trãi,4.2,20.0,1,0,0,0,0,0,0,0,0,0,0,Quận 1,11,10.7753939,106.6996249,0.0,5.0,0,0.09090909090909091
Lý Thưường Kiệt,4.7,25.0,0,0,0,0,0,0,0,0,0,0,0,Quận Tân Bình,11,10.8030931,106.6523519,6.012418782951292,4.0,0,0.0
Số,1.7,42.0,0,1,1,0,1,0,0,0,1,1,0,Quận 7,11,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.45454545454545453
Cách Mạng Tháng Tám,5.3,20.0,0,0,0,1,0,0,0,0,0,1,1,Quận 10,11,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.2727272727272727
An Dương Vương,0.7,20.0,1,1,1,0,1,0,0,0,0,0,0,Quận 5,11,10.7558252,106.6683021,4.054910944499208,3.8,0,0.36363636363636365
Sư Vạn Hạnh,1.3,20.0,1,1,1,0,1,0,0,0,0,0,0,Quận 10,11,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.36363636363636365
Phạm Hùng,0.7,20.0,1,0,1,0,1,1,0,0,0,1,0,Quận 8,11,10.7211158,106.6292079,9.777699913085529,3.8,0,0.45454545454545453
Phạm Văn Chiêu,2.9,25.0,1,0,1,0,1,0,0,0,1,0,0,Quận Gò Vấp,11,10.8352617,106.6740588,7.218946055948861,3.6,0,0.36363636363636365
Lý Thánh Tông,2.5,18.0,1,0,0,0,1,0,0,0,0,1,0,Quận Tân Phú,11,10.7918681,106.6277515,8.06170727164738,3.6,0,0.2727272727272727
Lò Lu,3.0,30.0,0,0,0,0,0,0,0,0,0,0,0,Quận 9,11,10.8441928,106.7791529,11.574703424951835,3.3,0,0.0
Đưường,3.4,24.0,0,0,0,0,0,0,0,0,0,0,0,Quận Bình Tân,11,10.7704159,106.5995401,10.946786715251639,3.0,0,0.0
Phạm Ngũ Lão,1.5,30.0,1,0,0,0,1,0,1,0,0,1,0,Quận 1,11,10.7753939,106.6996249,0.0,5.0,0,0.36363636363636365
Trần Khánh Dư,3.0,20.0,0,0,0,0,1,0,0,0,0,0,0,Quận 1,11,10.7753939,106.6996249,0.0,5.0,0,0.09090909090909091
Nguyễn Thái Bình,2.6,18.0,0,0,0,1,0,0,0,0,1,1,0,Quận Tân Bình,11,10.8030931,106.6523519,6.012418782951292,4.0,0,0.2727272727272727
Lê Minh Xuân,2.5,20.0,0,0,0,0,1,0,0,0,0,0,0,Quận Tân Bình,11,10.8030931,106.6523519,6.012418782951292,4.0,0,0.09090909090909091
Âu Cơ,2.7,18.0,0,0,0,0,1,0,0,0,0,0,0,Quận Tân Bình,11,10.8030931,106.6523519,6.012418782951292,4.0,0,0.09090909090909091
Số 3/2,2.5,25.0,1,0,0,0,1,0,0,0,0,0,0,Quận 10,11,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.18181818181818182
Hương Lộ 2,2.3,25.0,1,0,0,1,1,0,0,1,0,1,0,Quận Bình Tân,11,10.7704159,106.5995401,10.946786715251639,3.0,0,0.45454545454545453
Số 1,4.2,20.0,0,0,1,0,1,0,1,1,0,0,0,Quận Tân Bình,11,10.8030931,106.6523519,6.012418782951292,4.0,0,0.36363636363636365
Bà Lài,2.3,18.0,0,0,0,1,1,0,0,1,0,1,0,Quận 6,11,10.7458901,106.6391994,7.371171471389253,3.6,0,0.36363636363636365
Tô Ngọc Vân,1.6,30.0,1,0,1,0,1,1,1,0,0,1,0,Thủ Đức,10,10.8510238,106.7548953,10.35199028747128,3.0,0,0.5454545454545454
Nguyên Hồng,4.5,30.0,1,0,1,0,0,1,1,0,0,1,0,Quận Bình Thạnh,11,10.812271,106.7040393,4.128798019662786,4.8,0,0.45454545454545453
Lý Thưường Kiệt,4.9,25.0,1,0,0,0,0,0,0,0,0,1,0,Quận 10,11,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.18181818181818182
Đinh Bộ Lĩnh,2.7,12.0,1,1,1,0,0,0,0,0,0,1,0,Quận Bình Thạnh,11,10.812271,106.7040393,4.128798019662786,4.8,0,0.36363636363636365
Lê Văn Quới,2.9,20.0,1,1,1,0,0,0,0,0,0,0,0,Quận Bình Tân,11,10.7704159,106.5995401,10.946786715251639,3.0,0,0.2727272727272727
Huỳnh Tấn Phát,3.0,20.0,1,0,1,0,1,0,0,1,0,0,0,Quận 7,11,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.36363636363636365
Unknown,1.2,12.0,1,0,0,1,1,0,0,0,0,1,0,Quận 12,11,10.8612653,106.6642083,10.30222218105053,3.0,0,0.36363636363636365
Nơ Trang Long,4.0,14.0,0,0,0,1,0,0,0,0,0,0,0,Quận Bình Thạnh,11,10.812271,106.7040393,4.128798019662786,4.8,0,0.09090909090909091
Số 3,3.2,40.0,1,1,0,0,1,1,0,0,0,0,0,Quận Gò Vấp,11,10.8352617,106.6740588,7.218946055948861,3.6,0,0.36363636363636365
Lê Văn Thọ,5.0,40.0,1,1,1,0,1,1,0,1,0,1,0,Quận Gò Vấp,11,10.8352617,106.6740588,7.218946055948861,3.6,0,0.6363636363636364
Nguyễn Thượng Hiền,2.2,16.0,0,0,0,0,1,0,0,0,0,0,0,Quận Phú Nhuận,11,10.8010601,106.6798946,3.5762603391364025,4.5,0,0.09090909090909091
Bình Long,3.2,25.0,0,0,1,0,0,0,0,0,0,0,0,Quận Tân Phú,11,10.7918681,106.6277515,8.06170727164738,3.6,0,0.09090909090909091
Huỳnh Văn Bánh,3.5,20.0,0,0,0,0,1,0,0,0,0,0,0,Quận Phú Nhuận,11,10.8010601,106.6798946,3.5762603391364025,4.5,0,0.09090909090909091
Nguyễn Thị Thập,3.8,25.0,0,0,0,0,1,0,1,0,0,1,0,Quận 7,11,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.2727272727272727
Thanh Đa,3.0,28.0,0,1,0,0,1,0,0,0,0,0,0,Quận Bình Thạnh,11,10.812271,106.7040393,4.128798019662786,4.8,0,0.18181818181818182
Hương Lộ 2,2.7,18.0,0,0,0,0,1,0,1,0,0,0,0,Quận Bình Tân,11,10.7704159,106.5995401,10.946786715251639,3.0,0,0.18181818181818182
Nguyễn Tất Thành,4.4,22.0,1,0,0,0,0,0,0,0,0,1,0,Quận 4,11,10.7607538,106.7070798,1.8202310306755016,3.5,0,0.18181818181818182
Nguyễn Tri Phương,3.8,22.0,0,0,0,0,0,0,0,0,1,0,0,Quận 5,11,10.7558252,106.6683021,4.054910944499208,3.8,0,0.09090909090909091
1a,1.9,18.0,0,0,0,0,1,1,1,0,0,0,0,Quận 12,11,10.8612653,106.6642083,10.30222218105053,3.0,0,0.2727272727272727
Nguyễn Hữu Thọ,3.2,18.0,1,1,1,0,1,0,0,0,0,1,0,Huyện Nhà Bè,11,10.6509356,106.7259486,13.961071149624273,3.0,0,0.45454545454545453
D4,3.9,18.0,1,1,1,0,1,1,1,0,0,0,0,Quận 7,11,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.5454545454545454
Nguyễn Lương Bằng,4.2,20.0,1,1,1,0,1,1,1,0,0,0,0,Quận 7,11,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.5454545454545454
Lê Văn Quới,3.8,25.0,1,1,1,0,0,1,1,1,0,0,0,Quận Bình Tân,11,10.7704159,106.5995401,10.946786715251639,3.0,0,0.5454545454545454
Cống Quỳnh,2.0,25.0,1,1,0,0,1,0,1,1,0,1,0,Quận 1,11,10.7753939,106.6996249,0.0,5.0,0,0.5454545454545454
Huỳnh Khương An,1.2,35.0,1,0,1,0,0,0,1,0,0,0,0,Quận Gò Vấp,11,10.8352617,106.6740588,7.218946055948861,3.6,0,0.2727272727272727
16 Kdc Ấp 5,3.5,27.0,0,0,0,0,0,0,0,0,0,0,0,Huyện Bình Chánh,11,10.6950833,106.5909297,13.961071149624273,3.5,0,0.0
Lê Đình Cẩn,2.5,25.0,1,1,1,0,1,0,0,0,0,0,0,Quận Bình Tân,11,10.7704159,106.5995401,10.946786715251639,3.0,0,0.36363636363636365
