query,lat,lon
"Đường Phạm Hùng, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Lương Bằng, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Thành Thái, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",10.7699914,106.701295
"Đường Số 8, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.8263092,106.6917202
"Đường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Văn Đang, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Văn Chí, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.8499552,106.7736703
"Đường Số 2, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",10.7416082,106.6649389
"Đường Hoàng Hoa Thám, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường D2, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Kế Xương, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Văn Việt, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Xuân Soạn, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Huỳnh Khương Ninh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Quốc Lộ 13, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.841058,106.7171468
"Đường Toà Nhà Namn, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Huỳnh Văn Bánh, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Huỳnh Khương An, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Ký Con, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Văn Đậu, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Hưng Đạo, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",10.7548257,106.6794795
"Đường Nguyễn Gia Trí, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Trãi, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lý Thưường Kiệt, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",10.7164039,106.7346196
"Đường Cách Mạng Tháng Tám, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường An Dương Vương, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",10.7611353,106.6833774
"Đường Sư Vạn Hạnh, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Phạm Văn Chiêu, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lý Thánh Tông, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lò Lu, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Đưường, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Trần Khánh Dư, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nguyễn Thái Bình, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Minh Xuân, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Âu Cơ, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 3/2, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Hương Lộ 2, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 1, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Bà Lài, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Tô Ngọc Vân, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",10.8653561,106.6747091
"Đường Nguyên Hồng, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lý Thưường Kiệt, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Đinh Bộ Lĩnh, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Văn Quới, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Huỳnh Tấn Phát, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường UNKNOWN, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Nơ Trang Long, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Số 3, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
"Đường Lê Văn Thọ, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,
